series_name,reference_model,challenger_model,n_aligned,mean_abs_error_reference,mean_abs_error_challenger,mean_diff_challenger_minus_reference,ci95_low,ci95_high,reference_win_rate
50-64 yr,constrained_structure_discovery,exhaustive_structure_discovery,59,0.054679535066905524,0.054679013330644566,-5.217362609746236e-07,-2.62814080027711e-06,1.625577490821122e-06,0.423728813559322
50-64 yr,constrained_structure_discovery,fractional_seir,59,0.054679535066905524,0.1257140679560527,0.07103453288914711,0.05506861812338942,0.0872365736862658,0.847457627118644
50-64 yr,constrained_structure_discovery,hospitalized_seihr,59,0.054679535066905524,0.06488313164315755,0.010203596576252014,-0.0039058680357735897,0.03624554540631057,0.3389830508474576
50-64 yr,constrained_structure_discovery,lagged_gradient_boosting,59,0.054679535066905524,0.10762711864406775,0.05294758357716221,0.027459494181794893,0.08246331548469635,0.6271186440677966
50-64 yr,constrained_structure_discovery,lagged_ridge,59,0.054679535066905524,0.10762711864406775,0.05294758357716221,0.024837179476113844,0.08336159762043169,0.6271186440677966
50-64 yr,constrained_structure_discovery,last_observed,59,0.054679535066905524,0.06101694915254236,0.006337414085636825,-0.012559557967335058,0.024700971057675644,0.5084745762711864
50-64 yr,constrained_structure_discovery,no_observation_search_discovery,59,0.054679535066905524,0.05643989250045022,0.0017603574335446962,-0.0011511959764540925,0.006506660169148819,0.4745762711864407
50-64 yr,constrained_structure_discovery,no_stability_discovery,59,0.054679535066905524,0.05467956863546066,3.3568555140511366e-08,-1.1998503501969458e-06,1.5667754137970475e-06,0.559322033898305
50-64 yr,constrained_structure_discovery,probabilistic_seir,59,0.054679535066905524,0.08472766544273967,0.030048130375834148,0.0029974773424728276,0.07783292438368507,0.559322033898305
50-64 yr,constrained_structure_discovery,random_structure_discovery,59,0.054679535066905524,0.054679501478114526,-3.3588791016486484e-08,-1.7860416259958518e-06,1.59296112568713e-06,0.4576271186440678
50-64 yr,constrained_structure_discovery,rolling_mean_2wk,59,0.054679535066905524,0.0677966101694915,0.01311707510258597,-0.0022970580449885587,0.02935712904817001,0.559322033898305
50-64 yr,constrained_structure_discovery,rolling_mean_4wk,59,0.054679535066905524,0.10762711864406775,0.05294758357716221,0.026748607454626688,0.08151727542168737,0.6271186440677966
50-64 yr,constrained_structure_discovery,validation_only_structure_selection,59,0.054679535066905524,0.08298371659171956,0.028304181524814034,0.011725331353925368,0.04475599552881901,0.7457627118644068
>= 65 yr,constrained_structure_discovery,arima_auto_small,59,0.1763203362394962,0.21016949152542372,0.033849155285927496,-0.041521520407934644,0.11034288903389616,0.4745762711864407
>= 65 yr,constrained_structure_discovery,delayed_observation_seir,59,0.1763203362394962,0.22307017672258106,0.046749840483084865,-0.02426039117098843,0.11787436349322919,0.4406779661016949
>= 65 yr,constrained_structure_discovery,deterministic_seir,59,0.1763203362394962,0.22306546048737366,0.046745124247877454,-0.02414071812724683,0.12144513578159363,0.4745762711864407
>= 65 yr,constrained_structure_discovery,equal_weight_point_ensemble,59,0.1763203362394962,0.2564711199157578,0.08015078367626159,-0.0018800860766691563,0.16449906400213377,0.4915254237288136
>= 65 yr,constrained_structure_discovery,exhaustive_structure_discovery,59,0.1763203362394962,0.16858039714367376,-0.007739939095822421,-0.059264394460109865,0.0270393336218407,0.5932203389830508
>= 65 yr,constrained_structure_discovery,fractional_seir,59,0.1763203362394962,0.35410044825835446,0.17778011201885824,0.05844955338270019,0.3110494591369732,0.5254237288135594
>= 65 yr,constrained_structure_discovery,hospitalized_seihr,59,0.1763203362394962,0.261509888246127,0.08518955200663078,0.007596032768999502,0.15832999320207997,0.6440677966101694
>= 65 yr,constrained_structure_discovery,lagged_gradient_boosting,59,0.1763203362394962,0.3190677966101695,0.14274746037067323,0.04398499967260181,0.2505338344428502,0.5423728813559322
>= 65 yr,constrained_structure_discovery,lagged_ridge,59,0.1763203362394962,0.3190677966101695,0.14274746037067323,0.04289314923374129,0.2524089826059071,0.5423728813559322
>= 65 yr,constrained_structure_discovery,last_observed,59,0.1763203362394962,0.21016949152542372,0.033849155285927496,-0.043521103115061084,0.10838214028668844,0.4745762711864407
>= 65 yr,constrained_structure_discovery,no_observation_search_discovery,59,0.1763203362394962,0.23378875388799455,0.05746841764849834,-0.01674910093488538,0.1348961938352085,0.423728813559322
>= 65 yr,constrained_structure_discovery,no_stability_discovery,59,0.1763203362394962,0.19859113416975646,0.022270797930260246,-0.0030543778325998867,0.06747249028063919,0.4745762711864407
>= 65 yr,constrained_structure_discovery,probabilistic_seir,59,0.1763203362394962,0.2808311545708617,0.10451081833136543,0.026034354755499114,0.18870634144746454,0.5084745762711864
>= 65 yr,constrained_structure_discovery,random_structure_discovery,59,0.1763203362394962,0.19640802129048407,0.020087685050987868,-0.031114491346039764,0.04970422050533489,0.847457627118644
>= 65 yr,constrained_structure_discovery,rolling_mean_2wk,59,0.1763203362394962,0.2271186440677966,0.050798307828300374,-0.02872279467834969,0.12709854960532693,0.5084745762711864
>= 65 yr,constrained_structure_discovery,rolling_mean_4wk,59,0.1763203362394962,0.3190677966101695,0.14274746037067323,0.04648244901480653,0.2501443300691383,0.5423728813559322
>= 65 yr,constrained_structure_discovery,validation_only_structure_selection,59,0.1763203362394962,0.15779409355770554,-0.018526242681790657,-0.06230410636269859,0.007455102269323792,0.5423728813559322
Overall,constrained_structure_discovery,arima_auto_small,59,0.08964626285751429,0.042372881355932195,-0.04727338150158207,-0.06766514658354769,-0.029754889267955664,0.1864406779661017
Overall,constrained_structure_discovery,delayed_observation_seir,59,0.08964626285751429,0.08219154389031101,-0.007454718967203243,-0.009726004688217167,-0.005167009996657142,0.2542372881355932
Overall,constrained_structure_discovery,deterministic_seir,59,0.08964626285751429,0.08281891901703987,-0.006827343840474386,-0.008871423052990882,-0.004736555321982512,0.2711864406779661
Overall,constrained_structure_discovery,equal_weight_point_ensemble,59,0.08964626285751429,0.08123877826866199,-0.00840748458885226,-0.018734640697088998,0.0012126352763551292,0.4067796610169492
Overall,constrained_structure_discovery,exhaustive_structure_discovery,59,0.08964626285751429,0.08964752139340318,1.2585358889175947e-06,6.114322259840957e-08,2.5164252422600336e-06,0.6101694915254238
Overall,constrained_structure_discovery,fractional_seir,59,0.08964626285751429,0.13547386327869115,0.045827600421176874,0.03123361155153817,0.0669774000102659,0.8305084745762712
Overall,constrained_structure_discovery,hospitalized_seihr,59,0.08964626285751429,0.08630523397373059,-0.003341028883783684,-0.006861431985772067,0.0006425161887544221,0.3220338983050847
Overall,constrained_structure_discovery,lagged_gradient_boosting,59,0.08964626285751429,0.10084745762711861,0.011201194769604357,-0.006035536313207031,0.030934720085791553,0.4745762711864407
Overall,constrained_structure_discovery,lagged_ridge,59,0.08964626285751429,0.10084745762711861,0.011201194769604357,-0.006393348085602322,0.029391260132519685,0.4745762711864407
Overall,constrained_structure_discovery,last_observed,59,0.08964626285751429,0.042372881355932195,-0.04727338150158207,-0.0658238420044458,-0.028219774786447046,0.1864406779661017
Overall,constrained_structure_discovery,no_observation_search_discovery,59,0.08964626285751429,0.09897511393905302,0.009328851081538754,-0.015079753533048242,0.03084645677703384,0.6610169491525424
Overall,constrained_structure_discovery,no_stability_discovery,59,0.08964626285751429,0.08964615776772537,-1.0508978888928496e-07,-1.9595734115872404e-06,1.614278832761827e-06,0.576271186440678
Overall,constrained_structure_discovery,probabilistic_seir,59,0.08964626285751429,0.09650385611078213,0.006857593253267884,0.003998818035450219,0.010346755461653765,0.7288135593220338
Overall,constrained_structure_discovery,random_structure_discovery,59,0.08964626285751429,0.08964654914144961,2.862839353373281e-07,-1.9287871183636377e-06,2.3617046628918e-06,0.5254237288135594
Overall,constrained_structure_discovery,rolling_mean_2wk,59,0.08964626285751429,0.05762711864406778,-0.03201914421344649,-0.04802910591723912,-0.016617095594483527,0.2711864406779661
Overall,constrained_structure_discovery,rolling_mean_4wk,59,0.08964626285751429,0.10084745762711861,0.011201194769604357,-0.00594703897632661,0.030456648389226824,0.4745762711864407
Overall,constrained_structure_discovery,validation_only_structure_selection,59,0.08964626285751429,0.08486764730484819,-0.0047786155526660734,-0.02933386810009459,0.018994654783833137,0.5932203389830508
